,Unnamed: 0,id,movie_id,movie_title,movie_url,genre
0,0,1,1,Toy Story,http://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Adventure|Animation|Children|Comedy|Fantasy
1,1,2,2,Jumanji,http://image.tmdb.org/t/p/original/nLXYV4WmYUF4i8pX0iE0H1rltmf.jpg,Adventure|Children|Fantasy
2,2,3,3,Grumpier Old Men,http://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Comedy|Romance
3,3,4,4,Waiting to Exhale,http://image.tmdb.org/t/p/original/afLVNPUxvBZ5laBeC4BeuOvTVfD.jpg,Comedy|Drama|Romance
4,4,5,5,Father of the Bride Part II,http://image.tmdb.org/t/p/original/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Comedy
5,5,6,6,Heat,http://image.tmdb.org/t/p/original/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Action|Crime|Thriller
6,6,7,7,Sabrina,http://image.tmdb.org/t/p/original/8vvgKw3DbEPNlJAdHe7xXzhb2gN.jpg,Comedy|Romance
7,7,8,8,Tom and Huck,http://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,Adventure|Children
8,8,9,9,Sudden Death,http://image.tmdb.org/t/p/original/b7j7aSrwJ50iwK8hTW7jsqUhx6O.jpg,Action
9,9,10,10,GoldenEye,http://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,Action|Adventure|Thriller
10,10,11,11,The American President,http://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,Comedy|Drama|Romance
11,11,12,12,Dracula: Dead and Loving It,http://image.tmdb.org/t/p/original/j1l28lU5WEIoUAAyLtRT9H6MVfd.jpg,Comedy|Horror
12,12,13,13,Balto,http://image.tmdb.org/t/p/original/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Adventure|Animation|Children
13,13,14,14,Nixon,http://image.tmdb.org/t/p/original/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,Drama
14,14,15,15,Cutthroat Island,http://image.tmdb.org/t/p/original/8g4sF1QthlNEt3lJhXNlYlbbkHN.jpg,Action|Adventure|Romance
15,15,16,16,Casino,http://image.tmdb.org/t/p/original/4a0I37pYcdFY6HeutalHQTGs0sl.jpg,Crime|Drama
16,16,17,17,Sense and Sensibility,http://image.tmdb.org/t/p/original/m4Kd8Yms1jz7TjuMRcCBgcMJ5Uy.jpg,Drama|Romance
17,17,18,18,Four Rooms,http://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,Comedy
18,18,19,19,Ace Ventura: When Nature Calls,http://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,Comedy
19,19,20,20,Money Train,http://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,Action|Comedy|Crime|Drama|Thriller
20,20,21,21,Get Shorty,,Comedy|Crime|Thriller
21,21,22,22,Copycat,http://image.tmdb.org/t/p/original/fx5CedhtFTguL4uFz039YdOrUu1.jpg,Crime|Drama|Horror|Mystery|Thriller
22,22,23,23,Assassins,http://image.tmdb.org/t/p/original/kgqS4jn60E8UIExfceMUExB3ZKK.jpg,Action|Crime|Thriller
23,23,24,24,Powder,http://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,Drama|Sci-Fi
24,24,25,25,Leaving Las Vegas,http://image.tmdb.org/t/p/original/nqc2LaUWB4ePf6IqpJ6D8apBDvn.jpg,Drama|Romance
25,25,26,26,Othello,http://image.tmdb.org/t/p/original/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,Drama
26,26,27,27,Now and Then,http://image.tmdb.org/t/p/original/5nkAaadxFzzYfFyN3Q5j4VZKRsA.jpg,Children|Drama
27,27,28,28,Persuasion,http://image.tmdb.org/t/p/original/s99WrKSEVR4RVvwm5Zn2cqrHTMM.jpg,Drama|Romance
28,28,29,29,The City of Lost Children,http://image.tmdb.org/t/p/original/slv9UxHya6vj52be5l3nEXFSLQX.jpg,Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,29,30,30,Shanghai Triad,http://image.tmdb.org/t/p/original/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,Crime|Drama
30,30,31,31,Dangerous Minds,http://image.tmdb.org/t/p/original/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,Drama
31,31,32,32,Twelve Monkeys,http://image.tmdb.org/t/p/original/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,Mystery|Sci-Fi|Thriller
32,32,33,33,Wings of Courage,http://image.tmdb.org/t/p/original/hSfIwMbxHdZJPGt6HZ24yp6i1EQ.jpg,Adventure|Romance|IMAX
33,33,34,34,Babe,http://image.tmdb.org/t/p/original/16MP5FV7zZqVdky5QVR8NbI2Nc7.jpg,Children|Drama
34,34,35,35,Carrington,http://image.tmdb.org/t/p/original/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,Drama|Romance
35,35,36,36,Dead Man Walking,http://image.tmdb.org/t/p/original/bAwHSLahdoRDHQCqGrGEFoITad1.jpg,Crime|Drama
36,36,37,39,Clueless,http://image.tmdb.org/t/p/original/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,Comedy|Romance
37,37,38,40,"Cry, the Beloved Country",http://image.tmdb.org/t/p/original/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,Drama
38,38,39,41,Richard III,http://image.tmdb.org/t/p/original/l1R9O2TBn0qPy1yVJhCXSXnn0Dn.jpg,Drama|War
39,39,40,42,Dead Presidents,http://image.tmdb.org/t/p/original/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,Action|Crime|Drama
40,40,41,43,Restoration,http://image.tmdb.org/t/p/original/60Vbc955KmcIwCeYI4mHCGgl57B.jpg,Drama
